politician,name,bday,place,party,professions,type
Al Gore,Albert Arnold Gore Jr.,March 31 1948,,Democratic,environmentalist - lawyer - businessman - journalist - author - ,Vice President
Hubert Humphrey,Hubert Horatio Humphrey Jr.,May 27 1911,Wallace South Dakota U.S.,Democratic–Farmer–Labor,,Vice President
Lyndon B. Johnson,Lyndon Baines Johnson,August 27 1908,Stonewall Texas U.S.,Democratic,teacher - ,President
Thomas Marshall,Thomas Riley Marshall,March 14 1854,North Manchester Indiana U.S.,Democratic,,Vice President
Walter Mondale,Walter Mondale,January 5 1928,Ceylon Minnesota U.S.,Democratic,,Vice President
Richard Nixon,Richard Milhous Nixon,January 9 1913,Yorba Linda California U.S.,Republican,lawyer - author - ,President
Dan Quayle,James Danforth Quayle,February 4 1947,Indianapolis ,Republican,,Vice President
Nelson Rockefeller,Nelson Aldrich Rockefeller,July 8 1908,Bar Harbor Maine U.S.,Republican,,Vice President
Theodore Roosevelt,Theodore Roosevelt Jr.,October 27 1858,,Republican,Author - conservationist - explorer - historian - naturalist - police commissioner - soldier - sportsman - ,President
James S. Sherman,James Schoolcraft Sherman,October 24 1855,Utica New York U.S.,Republican,,Vice President
Harry S. Truman,Harry S. Truman,May 8 1884,Lamar Missouri U.S.,Democratic,farmer - ,President
Henry A. Wallace,Henry Agard Wallace,October 7 1888,Orient Iowa U.S.,Republican,,Vice President
John C. Breckinridge,John Cabell Breckinridge,January 16 1821,Lexington Kentucky U.S.,Democratic,,Vice President
Aaron Burr,Aaron Burr Jr.,February 6 1756,Newark ,Democratic-Republican,,Vice President
John C. Calhoun,John Caldwell Calhoun,March 18 1782,,Democratic-Republican,,Vice President
George Clinton,George Clinton (vice president),July 26 [,O.S. July 15] 1739,Democratic-Republican,,Vice President
Schuyler Colfax,Schuyler Colfax Jr.,March 23 1823,Manhattan New York City U.S.,Whig,,Vice President
George M. Dallas,George Mifflin Dallas,July 10 1792,Philadelphia ,Democratic,,Vice President
Millard Fillmore,Millard Fillmore,January 7 1800,Moravia New York U.S.,,lawyer - ,President
Elbridge Gerry,Elbridge Thomas Gerry,July 17 1744,Marblehead ,Democratic-Republican,,Vice President
